album,track_number,name,uri,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,popularity,album_order,plays,relative plays per album,F1,release_date,id
evermore,1,willow,spotify:track:0lx2cLdOt3piJbcaXIV74f,214706,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,7,4,81,8,252341484,21.63185479,194,12/11/2020,0lx2cLdOt3piJbcaXIV74f
evermore,2,champagne problems,spotify:track:0sY6ZUTh4yoctD8VIXz339,244000,0.92,0.462,0.24,0,0.113,-12.077,0.0377,171.319,0.32,0,4,76,8,126138242,10.81314135,195,12/11/2020,0sY6ZUTh4yoctD8VIXz339
evermore,3,gold rush,spotify:track:5BK0uqwY9DNfZ630STAEaq,185320,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,9,4,72,8,84109270,7.210227529,196,12/11/2020,5BK0uqwY9DNfZ630STAEaq
evermore,4,‘tis the damn season,spotify:track:7dW84mWkdWE5a6lFWxJCBG,229840,0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,0.348,5,4,68,8,74705667,6.404108094,197,12/11/2020,7dW84mWkdWE5a6lFWxJCBG
evermore,5,tolerate it,spotify:track:0PurA4JVJ8YQgSVopY8fn6,245440,0.878,0.316,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,0.221,9,5,68,8,67255556,5.76545084,198,12/11/2020,0PurA4JVJ8YQgSVopY8fn6
evermore,6,"no body, no crime (feat. HAIM)",spotify:track:3RaT22zZsxVYxxKR7TAaYF,215626,0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,7,4,70,8,88673371,7.601482937,199,12/11/2020,3RaT22zZsxVYxxKR7TAaYF
evermore,7,happiness,spotify:track:73YUReisjb3A9ActdLLjJQ,315146,0.87,0.559,0.334,0,0.114,-10.733,0.0376,122.079,0.211,11,4,67,8,59091736,5.065611218,200,12/11/2020,73YUReisjb3A9ActdLLjJQ
evermore,8,dorothea,spotify:track:670fUmXf4KQekzbEgaXyPA,225880,0.696,0.605,0.488,0,0.129,-8.322,0.0264,119.966,0.354,4,4,65,8,51703006,4.432215821,201,12/11/2020,670fUmXf4KQekzbEgaXyPA
evermore,9,coney island (feat. The National),spotify:track:3k7ne7VmH43ZPWxPdvPUgR,275320,0.819,0.537,0.537,0.000904,0.142,-11.266,0.0617,107.895,0.292,8,4,66,8,54600963,4.680641819,202,12/11/2020,3k7ne7VmH43ZPWxPdvPUgR
evermore,10,ivy,spotify:track:19CSr8rwW05VJL2F91KFNK,260440,0.855,0.515,0.545,1.97e-05,0.0921,-9.277,0.0353,88.856,0.535,2,4,68,8,58108362,4.981311946,203,12/11/2020,19CSr8rwW05VJL2F91KFNK
evermore,11,cowboy like me,spotify:track:1XjHRolIXL2M1EEOUsGGR4,275040,0.768,0.604,0.517,0.000155,0.123,-9.014,0.0347,127.967,0.511,0,4,66,8,49688265,4.259503099,204,12/11/2020,1XjHRolIXL2M1EEOUsGGR4
evermore,12,long story short,spotify:track:2o2sgVJIgFXk8GQjWTgI6U,215920,0.66,0.546,0.73,0.179,0.0972,-7.704,0.0417,157.895,0.573,0,4,67,8,56191015,4.816948278,205,12/11/2020,2o2sgVJIgFXk8GQjWTgI6U
evermore,13,marjorie,spotify:track:12ntTeqEeTg7GAVpe8Mhpl,257773,0.876,0.535,0.561,0.000136,0.115,-11.609,0.0484,96.103,0.287,5,4,65,8,46278182,3.967175341,206,12/11/2020,12ntTeqEeTg7GAVpe8Mhpl
evermore,14,closure,spotify:track:35rdVq36LMHQX0Suw9a6tK,180653,0.835,0.689,0.704,4.83e-06,0.134,-10.813,0.245,151.884,0.92,9,5,63,8,39756432,3.408101396,207,12/11/2020,35rdVq36LMHQX0Suw9a6tK
